district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Nagarkurnool,TSD0011,6399.07,"{ ""min"": 25.65571403503418, ""max"": 33.236957550048828, ""mean"": 29.925290287522881, ""count"": 1639, ""sum"": 49047.55078125, ""median"": 30.333999633789062 }","(78.10083116400006, 16.00532167600005, 79.23432760400004, 16.830959432000043)",01-01-2023.geojson,,,,,,
Nalgonda,TSD0012,7218.26,"{ ""min"": 25.043912887573242, ""max"": 34.226665496826172, ""mean"": 29.83693783068783, ""count"": 1890, ""sum"": 56391.8125, ""median"": 29.909999847412109 }","(78.62614167300006, 16.35584791900004, 79.70200312500003, 17.35996707100003)",01-01-2023.geojson,,,,,,
Nirmal,TSD0013,3729.13,"{ ""min"": 23.30384635925293, ""max"": 32.102798461914062, ""mean"": 28.651062689202824, ""count"": 991, ""sum"": 28393.203125, ""median"": 28.765556335449219 }","(77.76173454100007, 18.84522452500005, 78.95237500500008, 19.342882151000026)",01-01-2023.geojson,,,,,,
Nizamabad,TSD0014,4168.33,"{ ""min"": 23.323076248168945, ""max"": 31.063846588134766, ""mean"": 27.659517626021799, ""count"": 1101, ""sum"": 30453.12890625, ""median"": 27.734800338745117 }","(77.73094369300003, 18.43404349700006, 78.64029038200005, 19.015710890000037)",01-01-2023.geojson,,,,,,
Peddapalli,TSD0015,2195.39,"{ ""min"": 25.80363655090332, ""max"": 31.530000686645508, ""mean"": 28.497932774914091, ""count"": 582, ""sum"": 16585.796875, ""median"": 28.422237396240234 }","(79.11294947900006, 18.385471986000027, 79.83268954900007, 18.854875013000026)",01-01-2023.geojson,,,,,,
Rajanna Sircilla,TSD0016,1897.97,"{ ""min"": 25.168333053588867, ""max"": 31.46583366394043, ""mean"": 28.85702659970238, ""count"": 504, ""sum"": 14543.94140625, ""median"": 28.871250152587891 }","(78.52078465300008, 18.21376387500004, 79.02266919100003, 18.69041016700004)",01-01-2023.geojson,,,,,,
Sangareddy,TSD0017,4460.37,"{ ""min"": 23.501199722290039, ""max"": 34.255832672119141, ""mean"": 31.136223825467688, ""count"": 1176, ""sum"": 36616.19921875, ""median"": 31.571199417114258 }","(77.44416825100006, 17.42785604100004, 78.44886573200006, 18.309307690000026)",01-01-2023.geojson,,,,,,
Siddipet,TSD0018,3637.17,"{ ""min"": 25.24839973449707, ""max"": 31.179166793823242, ""mean"": 29.232216282894736, ""count"": 969, ""sum"": 28326.017578125, ""median"": 29.309999465942383 }","(78.49289586600008, 17.667265188000044, 79.30335584600004, 18.34315846100003)",01-01-2023.geojson,,,,,,
Vikarabad,TSD0019,3618.96,"{ ""min"": 28.261999130249023, ""max"": 34.029167175292969, ""mean"": 31.692810187632134, ""count"": 946, ""sum"": 29981.3984375, ""median"": 31.863033294677734 }","(77.36247981800005, 16.90300025500005, 78.07315782100005, 17.637813938000022)",01-01-2023.geojson,,,,,,
Wanaparthy,TSD0020,2174.67,"{ ""min"": 24.784999847412109, ""max"": 33.196666717529297, ""mean"": 30.556667989273205, ""count"": 571, ""sum"": 17447.857421875, ""median"": 30.621665954589844 }","(77.65718116, 15.94285645900004, 78.31347526600007, 16.626992442000073)",01-01-2023.geojson,,,,,,
Warangal Rural,TSD0021,2139.98,"{ ""min"": 25.97960090637207, ""max"": 30.866521835327148, ""mean"": 29.140830232049037, ""count"": 571, ""sum"": 16639.4140625, ""median"": 29.200435638427734 }","(79.47950597500005, 17.619303173000105, 80.04124404200007, 18.279223933000026)",01-01-2023.geojson,,,,,,
Warangal Urban,TSD0022,1294.45,"{ ""min"": 25.681304931640625, ""max"": 30.363042831420898, ""mean"": 28.841256893382354, ""count"": 340, ""sum"": 9806.02734375, ""median"": 28.962797164916992 }","(79.23082975700004, 17.786163054000042, 79.67163482100005, 18.266255774000058)",01-01-2023.geojson,,,,,,
Yadadri Bhuvanagiri,TSD0023,3422.72,"{ ""min"": 26.125200271606445, ""max"": 33.413333892822266, ""mean"": 29.72277764289678, ""count"": 901, ""sum"": 26780.22265625, ""median"": 29.834800720214844 }","(78.68260567800007, 17.04419639500003, 79.45808114400006, 17.812669696000114)",01-01-2023.geojson,,,,,,
Narayanpet,TSD0024,2380.13,"{ ""min"": 25.429166793823242, ""max"": 34.317501068115234, ""mean"": 31.651068305032734, ""count"": 611, ""sum"": 19338.802734375, ""median"": 31.701665878295898 }","(77.23725451100006, 16.34148046400003, 77.79666638000009, 17.061726844000077)",01-01-2023.geojson,,,,,,
Jogulamba Gadwal,TSD0025,2574.21,"{ ""min"": 24.781665802001953, ""max"": 35.086666107177734, ""mean"": 31.203806390977444, ""count"": 665, ""sum"": 20750.53125, ""median"": 31.09434700012207 }","(77.48561464400007, 15.836429923000026, 78.25321888900004, 16.362950969000053)",01-01-2023.geojson,,,,,,
Rangareddy,TSD0026,4997.54,"{ ""min"": 24.511667251586914, ""max"": 33.552501678466797, ""mean"": 30.936058830492424, ""count"": 1320, ""sum"": 40835.59765625, ""median"": 30.981433868408203 }","(77.92190617600005, 16.744225033000077, 78.84397639500008, 17.522654105000072)",01-01-2023.geojson,,,,,,
Suryapet,TSD0027,3584.22,"{ ""min"": 25.310869216918945, ""max"": 32.755001068115234, ""mean"": 28.600821516339, ""count"": 941, ""sum"": 26913.373046875, ""median"": 28.572999954223633 }","(79.36051795300006, 16.63122235000003, 80.07318026800004, 17.526066134000075)",01-01-2023.geojson,,,,,,
Medchal Malkajgiri,TSD0028,1088.52,"{ ""min"": 27.038000106811523, ""max"": 31.15916633605957, ""mean"": 29.431922064887154, ""count"": 288, ""sum"": 8476.3935546875, ""median"": 29.379199981689453 }","(78.34798865200008, 17.361463480000054, 78.75985781500003, 17.70854524600003)",01-01-2023.geojson,,,,,,
Adilabad,TSD0029,3980.34,"{ ""min"": 26.388334274291992, ""max"": 32.490909576416016, ""mean"": 30.047751185758887, ""count"": 1041, ""sum"": 31279.708984375, ""median"": 30.141199111938477 }","(78.17215629700007, 19.17277807100004, 78.97780562900004, 19.91690008100005)",01-01-2023.geojson,,,,,,
Hyderabad,TSD0030,182.64,"{ ""min"": 25.994800567626953, ""max"": 30.813333511352539, ""mean"": 29.329709370930988, ""count"": 48, ""sum"": 1407.8260498046875, ""median"": 29.345199584960938 }","(78.38267903300004, 17.293465379000054, 78.55019026600007, 17.483791793000023)",01-01-2023.geojson,,,,,,
Kumurambheem Asifabad,TSD0031,4495.32,"{ ""min"": 25.164443969726562, ""max"": 32.650909423828125, ""mean"": 29.405793940355331, ""count"": 1182, ""sum"": 34757.6484375, ""median"": 29.678237915039062 }","(78.80016529900007, 19.050559607000025, 79.97913072000006, 19.617151517000025)",01-01-2023.geojson,,,,,,
Jayashankar Bhupalpally,TSD0032,2946.01,"{ ""min"": 25.424285888671875, ""max"": 31.709047317504883, ""mean"": 28.562079326923076, ""count"": 780, ""sum"": 22278.421875, ""median"": 28.826011657714844 }","(79.55918339200008, 18.156703452000045, 80.34460111152396, 18.869152369000062)",01-01-2023.geojson,,,,,,
Mahabubnagar,TSD0033,2749.62,"{ ""min"": 26.292499542236328, ""max"": 33.819168090820312, ""mean"": 30.952299926419666, ""count"": 722, ""sum"": 22347.560546875, ""median"": 31.010452270507812 }","(77.67537161200016, 16.378530416000103, 78.369893344, 17.01442864699999)",01-01-2023.geojson,,,,,,
Bhadradri Kothagudem,TSD0001,6974.14,"{ ""min"": 27.235000610351562, ""max"": 36.422500610351562, ""mean"": 32.21448630136986, ""count"": 1825, ""sum"": 58791.4375, ""median"": 32.223911285400391 }","(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",01-02-2023.geojson,,,,,,
