district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Karimnagar,TSSD0528,149.05,"{ ""min"": 0.0, ""max"": 392.0, ""mean"": 169.77991196478592, ""count"": 2499, ""sum"": 424280.0, ""median"": 163.0 }","(79.32153135600004, 18.284775453000066, 79.47308686900004, 18.451735262000057)",01-01-2020.geojson,Veenavanka,,,,,
Rajanna Sircilla,TSSD0529,108.34,"{ ""min"": 0.0, ""max"": 352.0, ""mean"": 155.30981256890848, ""count"": 1814, ""sum"": 281732.0, ""median"": 153.5 }","(78.52432514700007, 18.43250137900003, 78.66155136400005, 18.551319524000064)",01-01-2020.geojson,Veernapalli,,,,,
Warangal_Urban,TSSD0530,99.79,"{ ""min"": 0.0, ""max"": 400.0, ""mean"": 170.96486003573557, ""count"": 1679, ""sum"": 287050.0, ""median"": 163.0 }","(79.22835213700006, 17.93079546100006, 79.37723082100007, 18.05131547900004)",01-01-2020.geojson,Velair,,,,,
Nagarkurnool,TSSD0531,241.3,"{ ""min"": 0.0, ""max"": 438.0, ""mean"": 155.3495508982036, ""count"": 4008, ""sum"": 622641.0, ""median"": 139.0 }","(78.46270790300008, 16.666440694000073, 78.68353178700005, 16.830959432000043)",01-01-2020.geojson,Veldanda,,,,,
Jagtial,TSSD0532,186.9,"{ ""min"": 0.0, ""max"": 413.0, ""mean"": 161.8686386768448, ""count"": 3144, ""sum"": 508915.0, ""median"": 153.0 }","(79.12494408400005, 18.722845411000037, 79.29767471800005, 18.894953697000062)",01-01-2020.geojson,Velgatur,,,,,
Mancherial,TSSD0533,250.71,"{ ""min"": 0.0, ""max"": 416.0, ""mean"": 171.4400855920114, ""count"": 4206, ""sum"": 721077.0, ""median"": 153.0 }","(79.69774836700003, 18.995230109000033, 79.93090835500004, 19.173999767000055)",01-01-2020.geojson,Vemanpalle,,,,,
Khammam,TSSD0534,212.09,"{ ""min"": 0.0, ""max"": 388.0, ""mean"": 167.05396916047974, ""count"": 3502, ""sum"": 585023.0, ""median"": 167.0 }","(80.65028236900008, 17.04501079700003, 80.87710057800007, 17.186178728000073)",01-01-2020.geojson,Vemsoor,,,,,
Nalgonda,TSSD0535,112.25,"{ ""min"": 0.0, ""max"": 468.0, ""mean"": 291.20160427807485, ""count"": 1870, ""sum"": 544547.0, ""median"": 329.0 }","(79.49070453100006, 16.89060024500003, 79.61612180500003, 17.07767939000007)",01-01-2020.geojson,Vemulapally,,,,,
Rajanna Sircilla,TSSD0536,84.86,"{ ""min"": 0.0, ""max"": 295.0, ""mean"": 123.40657802659202, ""count"": 1429, ""sum"": 176348.0, ""median"": 122.0 }","(78.80779904800005, 18.41516011400006, 78.91545277600005, 18.54459724000003)",01-01-2020.geojson,Vemulawada,,,,,
Rajanna Sircilla,TSSD0537,107.21,"{ ""min"": 97.0, ""max"": 272.0, ""mean"": 131.89432703003337, ""count"": 1798, ""sum"": 237146.0, ""median"": 128.0 }","(78.77384337400008, 18.403529220000053, 78.91728096300005, 18.597872276000032)",01-01-2020.geojson,Vemulawada Rural,,,,,
Mulugu,TSSD0538,370.83,"{ ""min"": 0.0, ""max"": 683.0, ""mean"": 241.60820595333868, ""count"": 6215, ""sum"": 1501595.0, ""median"": 227.0 }","(79.85087728600007, 18.200829315000078, 80.17916133800009, 18.400974098000063)",01-01-2020.geojson,Venkatapur,,,,,
Mulugu,TSSD0539,588.35,"{ ""min"": 0.0, ""max"": 693.0, ""mean"": 285.88599979606403, ""count"": 9807, ""sum"": 2803684.0, ""median"": 282.0 }","(80.46538317500006, 18.105970334000062, 80.79370483500009, 18.449384397000074)",01-01-2020.geojson,Venkatapuram,,,,,
Vikarabad,TSSD0540,270.72,"{ ""min"": 0.0, ""max"": 384.0, ""mean"": 153.58956214064574, ""count"": 4522, ""sum"": 694532.0, ""median"": 153.0 }","(77.79093909400007, 17.228214577000074, 78.02432692200006, 17.44577402500005)",01-01-2020.geojson,Vikarabad,,,,,
Jogulamba Gadwal,TSSD0541,129.2,"{ ""min"": 0.0, ""max"": 438.0, ""mean"": 257.90853943070459, ""count"": 2143, ""sum"": 552698.0, ""median"": 267.0 }","(77.71231111200007, 15.89601525300003, 77.89649991000005, 16.018746091000025)",01-01-2020.geojson,Waddepally,,,,,
Wanaparthy,TSSD0542,201.88,"{ ""min"": 0.0, ""max"": 437.0, ""mean"": 256.26865671641792, ""count"": 3350, ""sum"": 858500.0, ""median"": 304.0 }","(77.95375639600007, 16.253768913000044, 78.13510940900005, 16.464866955000048)",01-01-2020.geojson,Wanaparthy,,,,,
Kumurambheem Asifabad,TSSD0543,335.2,"{ ""min"": 0.0, ""max"": 373.0, ""mean"": 167.98233089416385, ""count"": 5603, ""sum"": 941205.0, ""median"": 152.0 }","(79.20433473500003, 19.379408367000053, 79.42272052200008, 19.61653411900005)",01-01-2020.geojson,Wankidi,,,,,
Warangal_Urban,TSSD0544,39.54,"{ ""min"": 0.0, ""max"": 389.0, ""mean"": 111.79066265060241, ""count"": 664, ""sum"": 74229.0, ""median"": 141.0 }","(79.59074538600004, 17.974576416000048, 79.67092088100003, 18.04143189300015)",01-01-2020.geojson,Warangal,,,,,
Warangal_Rural,TSSD0545,158.41,"{ ""min"": 0.0, ""max"": 408.0, ""mean"": 165.23769871309614, ""count"": 2642, ""sum"": 436558.0, ""median"": 163.0 }","(79.47950597500005, 17.695552186000043, 79.66242391200007, 17.87391055100005)",01-01-2020.geojson,Wardhannapet,,,,,
Siddipet,TSSD0546,141.87,"{ ""min"": 0.0, ""max"": 394.0, ""mean"": 139.4045416316232, ""count"": 2378, ""sum"": 331504.0, ""median"": 139.0 }","(78.510667, 17.737442558000055, 78.67005759100005, 17.837924042000054)",01-01-2020.geojson,Wargal,,,,,
Wanaparthy,TSSD0547,165.53,"{ ""min"": 0.0, ""max"": 501.0, ""mean"": 259.75991269552566, ""count"": 2749, ""sum"": 714080.0, ""median"": 296.0 }","(78.03872356400007, 16.081036264000033, 78.22753261000008, 16.189588461000028)",01-01-2020.geojson,Weepangandla,,,,,
Khammam,TSSD0548,135.48,"{ ""min"": 0.0, ""max"": 462.0, ""mean"": 203.14935925762262, ""count"": 2263, ""sum"": 459727.0, ""median"": 198.0 }","(80.29245451900005, 17.052642821000063, 80.43887726800006, 17.202658917000065)",01-01-2020.geojson,Wyra,,,,,
