district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Adilabad,TSD0029,3980.34,"{ ""min"": 0.00055456685367971659, ""max"": 0.00055456685367971659, ""mean"": 0.0005545668078191353, ""count"": 33, ""sum"": 0.018300704658031464, ""median"": 0.00055456685367971659 }","(78.17215629700007, 19.17277807100004, 78.97780562900004, 19.91690008100005)",28-02-2023.geojson,,,,,,
Hyderabad,TSD0030,182.64,"{ ""min"": 0.00055456685367971659, ""max"": 0.00055456685367971659, ""mean"": 0.00055456685367971659, ""count"": 2, ""sum"": 0.0011091337073594332, ""median"": 0.00055456685367971659 }","(78.38267903300004, 17.293465379000054, 78.55019026600007, 17.483791793000023)",28-02-2023.geojson,,,,,,
Kumurambheem Asifabad,TSD0031,4495.32,"{ ""min"": 0.00055456685367971659, ""max"": 0.00055456685367971659, ""mean"": 0.00055456684074468084, ""count"": 36, ""sum"": 0.01996440626680851, ""median"": 0.00055456685367971659 }","(78.80016529900007, 19.050559607000025, 79.97913072000006, 19.617151517000025)",28-02-2023.geojson,,,,,,
Jayashankar Bhupalpally,TSD0032,2946.01,"{ ""min"": 0.00055456685367971659, ""max"": 0.00055456685367971659, ""mean"": 0.00055456685367971659, ""count"": 24, ""sum"": 0.013309604488313198, ""median"": 0.00055456685367971659 }","(79.55918339200008, 18.156703452000045, 80.34460111152396, 18.869152369000062)",28-02-2023.geojson,,,,,,
Mahabubnagar,TSD0033,2749.62,"{ ""min"": 0.00055456685367971659, ""max"": 0.00055456685367971659, ""mean"": 0.00055456684472469182, ""count"": 26, ""sum"": 0.014418737962841988, ""median"": 0.00055456685367971659 }","(77.67537161200016, 16.378530416000103, 78.369893344, 17.01442864699999)",28-02-2023.geojson,,,,,,
Bhadradri Kothagudem,TSD0001,6974.14,"{ ""min"": 0.72243064641952515, ""max"": 2.0636310577392578, ""mean"": 1.1312058971774193, ""count"": 62, ""sum"": 70.134765625, ""median"": 1.0175223350524902 }","(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",30-04-2023.geojson,,,,,,
Jagtial,TSD0002,2853.09,"{ ""min"": 0.79283851385116577, ""max"": 1.7398930788040161, ""mean"": 1.209657228910006, ""count"": 26, ""sum"": 31.451087951660156, ""median"": 1.166276216506958 }","(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",30-04-2023.geojson,,,,,,
Jangoan,TSD0003,2112.71,"{ ""min"": 0.72174036502838135, ""max"": 1.1227890253067017, ""mean"": 0.91410857752749797, ""count"": 19, ""sum"": 17.368062973022461, ""median"": 0.89845025539398193 }","(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",30-04-2023.geojson,,,,,,
Mulugu,TSD0004,4189.02,"{ ""min"": 1.0054426193237305, ""max"": 1.608051061630249, ""mean"": 1.2103976687869511, ""count"": 37, ""sum"": 44.784713745117188, ""median"": 1.1600637435913086 }","(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",30-04-2023.geojson,,,,,,
Kamareddy,TSD0005,3701.83,"{ ""min"": 0.61336749792098999, ""max"": 1.2366840839385986, ""mean"": 0.93475050084731159, ""count"": 34, ""sum"": 31.781517028808594, ""median"": 0.94745969772338867 }","(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",30-04-2023.geojson,,,,,,
Karimnagar,TSD0006,2127.79,"{ ""min"": 0.69620031118392944, ""max"": 1.2256397008895874, ""mean"": 1.0597057342529297, ""count"": 18, ""sum"": 19.074703216552734, ""median"": 1.1407361030578613 }","(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",30-04-2023.geojson,,,,,,
Khammam,TSD0007,4491.25,"{ ""min"": 0.58851766586303711, ""max"": 1.2221883535385132, ""mean"": 0.71684116270483988, ""count"": 41, ""sum"": 29.390487670898438, ""median"": 0.68998777866363525 }","(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",30-04-2023.geojson,,,,,,
Mahabubabad,TSD0008,3551.04,"{ ""min"": 0.81975913047790527, ""max"": 1.8883018493652344, ""mean"": 1.2761725063981681, ""count"": 29, ""sum"": 37.009002685546875, ""median"": 1.2118343114852905 }","(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",30-04-2023.geojson,,,,,,
Mancherial,TSD0009,3909.4,"{ ""min"": 0.65685468912124634, ""max"": 1.0075134038925171, ""mean"": 0.79415434598922729, ""count"": 32, ""sum"": 25.412939071655273, ""median"": 0.78524547815322876 }","(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",30-04-2023.geojson,,,,,,
Medak,TSD0010,2771.68,"{ ""min"": 0.56711924076080322, ""max"": 1.0703282356262207, ""mean"": 0.7323153686523437, ""count"": 25, ""sum"": 18.307884216308594, ""median"": 0.67411154508590698 }","(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",30-04-2023.geojson,,,,,,
