district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Jayashankar Bhupalpally,TSD0032,2946.01,"{ ""min"": 0.23903118073940277, ""max"": 0.3753410279750824, ""mean"": 0.31507298396183891, ""count"": 780, ""sum"": 245.75692749023438, ""median"": 0.32477918267250061 }","(79.55918339200008, 18.156703452000045, 80.34460111152396, 18.869152369000062)",28-02-2023.geojson,,,,,,
Mahabubnagar,TSD0033,2749.62,"{ ""min"": 0.19791997969150543, ""max"": 0.27987480163574219, ""mean"": 0.24249827630632143, ""count"": 722, ""sum"": 175.08375549316406, ""median"": 0.24503082036972046 }","(77.67537161200016, 16.378530416000103, 78.369893344, 17.01442864699999)",28-02-2023.geojson,,,,,,
Bhadradri Kothagudem,TSD0001,6974.14,"{ ""min"": 0.15498971939086914, ""max"": 0.29054513573646545, ""mean"": 0.2043775417380137, ""count"": 1825, ""sum"": 372.989013671875, ""median"": 0.19872236251831055 }","(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",30-04-2023.geojson,,,,,,
Jagtial,TSD0002,2853.09,"{ ""min"": 0.2053588479757309, ""max"": 0.24235446751117706, ""mean"": 0.21348575803409467, ""count"": 758, ""sum"": 161.82220458984375, ""median"": 0.21259737014770508 }","(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",30-04-2023.geojson,,,,,,
Jangoan,TSD0003,2112.71,"{ ""min"": 0.17161968350410461, ""max"": 0.20821373164653778, ""mean"": 0.18833946541938032, ""count"": 559, ""sum"": 105.28176116943359, ""median"": 0.1880587637424469 }","(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",30-04-2023.geojson,,,,,,
Mulugu,TSD0004,4189.02,"{ ""min"": 0.20611344277858734, ""max"": 0.29147210717201233, ""mean"": 0.23642503410497301, ""count"": 1111, ""sum"": 262.668212890625, ""median"": 0.2380545437335968 }","(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",30-04-2023.geojson,,,,,,
Kamareddy,TSD0005,3701.83,"{ ""min"": 0.19157280027866364, ""max"": 0.22727403044700623, ""mean"": 0.20892201231348356, ""count"": 977, ""sum"": 204.11680603027344, ""median"": 0.20597277581691742 }","(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",30-04-2023.geojson,,,,,,
Karimnagar,TSD0006,2127.79,"{ ""min"": 0.18779964745044708, ""max"": 0.23214326798915863, ""mean"": 0.21767746271942084, ""count"": 559, ""sum"": 121.68170166015625, ""median"": 0.21940091252326965 }","(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",30-04-2023.geojson,,,,,,
Khammam,TSD0007,4491.25,"{ ""min"": 0.1575329601764679, ""max"": 0.22651471197605133, ""mean"": 0.19348557570884967, ""count"": 1160, ""sum"": 224.44326782226562, ""median"": 0.19619357585906982 }","(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",30-04-2023.geojson,,,,,,
Mahabubabad,TSD0008,3551.04,"{ ""min"": 0.16730502247810364, ""max"": 0.25168308615684509, ""mean"": 0.21435672804984759, ""count"": 933, ""sum"": 199.99482727050781, ""median"": 0.21220789849758148 }","(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",30-04-2023.geojson,,,,,,
Mancherial,TSD0009,3909.4,"{ ""min"": 0.17600607872009277, ""max"": 0.25206252932548523, ""mean"": 0.20584207584260175, ""count"": 1041, ""sum"": 214.28160095214844, ""median"": 0.20082241296768188 }","(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",30-04-2023.geojson,,,,,,
Medak,TSD0010,2771.68,"{ ""min"": 0.18601356446743011, ""max"": 0.23996923863887787, ""mean"": 0.20402315221778564, ""count"": 721, ""sum"": 147.10069274902344, ""median"": 0.19875949621200562 }","(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",30-04-2023.geojson,,,,,,
Nagarkurnool,TSD0011,6399.07,"{ ""min"": 0.13866162300109863, ""max"": 0.24711167812347412, ""mean"": 0.17244379254213699, ""count"": 1639, ""sum"": 282.6353759765625, ""median"": 0.16551078855991364 }","(78.10083116400006, 16.00532167600005, 79.23432760400004, 16.830959432000043)",30-04-2023.geojson,,,,,,
Nalgonda,TSD0012,7218.26,"{ ""min"": 0.13726450502872467, ""max"": 0.23172755539417267, ""mean"": 0.1810893871166088, ""count"": 1890, ""sum"": 342.25894165039062, ""median"": 0.18355485796928406 }","(78.62614167300006, 16.35584791900004, 79.70200312500003, 17.35996707100003)",30-04-2023.geojson,,,,,,
Nirmal,TSD0013,3729.13,"{ ""min"": 0.21089461445808411, ""max"": 0.26231628656387329, ""mean"": 0.23395500606533015, ""count"": 991, ""sum"": 231.84941101074219, ""median"": 0.23400603234767914 }","(77.76173454100007, 18.84522452500005, 78.95237500500008, 19.342882151000026)",30-04-2023.geojson,,,,,,
Nizamabad,TSD0014,4168.33,"{ ""min"": 0.19738972187042236, ""max"": 0.26231628656387329, ""mean"": 0.22611942689706802, ""count"": 1101, ""sum"": 248.95748901367188, ""median"": 0.22464030981063843 }","(77.73094369300003, 18.43404349700006, 78.64029038200005, 19.015710890000037)",30-04-2023.geojson,,,,,,
Peddapalli,TSD0015,2195.39,"{ ""min"": 0.18664048612117767, ""max"": 0.22630946338176727, ""mean"": 0.20551387878627711, ""count"": 582, ""sum"": 119.60907745361328, ""median"": 0.21120807528495789 }","(79.11294947900006, 18.385471986000027, 79.83268954900007, 18.854875013000026)",30-04-2023.geojson,,,,,,
Rajanna Sircilla,TSD0016,1897.97,"{ ""min"": 0.19676348567008972, ""max"": 0.23152782022953033, ""mean"": 0.20996057419549852, ""count"": 504, ""sum"": 105.82012939453125, ""median"": 0.20933327078819275 }","(78.52078465300008, 18.21376387500004, 79.02266919100003, 18.69041016700004)",30-04-2023.geojson,,,,,,
Sangareddy,TSD0017,4460.37,"{ ""min"": 0.19054368138313293, ""max"": 0.24504886567592621, ""mean"": 0.2190563694960406, ""count"": 1176, ""sum"": 257.61029052734375, ""median"": 0.21585281193256378 }","(77.44416825100006, 17.42785604100004, 78.44886573200006, 18.309307690000026)",30-04-2023.geojson,,,,,,
Siddipet,TSD0018,3637.17,"{ ""min"": 0.17845909297466278, ""max"": 0.22697147727012634, ""mean"": 0.19584413258775962, ""count"": 969, ""sum"": 189.77296447753906, ""median"": 0.19478970766067505 }","(78.49289586600008, 17.667265188000044, 79.30335584600004, 18.34315846100003)",30-04-2023.geojson,,,,,,
Vikarabad,TSD0019,3618.96,"{ ""min"": 0.14915445446968079, ""max"": 0.2358424961566925, ""mean"": 0.18596357220575119, ""count"": 946, ""sum"": 175.92153930664062, ""median"": 0.18441936373710632 }","(77.36247981800005, 16.90300025500005, 78.07315782100005, 17.637813938000022)",30-04-2023.geojson,,,,,,
Wanaparthy,TSD0020,2174.67,"{ ""min"": 0.15865637362003326, ""max"": 0.17510214447975159, ""mean"": 0.16376932281120019, ""count"": 571, ""sum"": 93.512283325195312, ""median"": 0.16311144828796387 }","(77.65718116, 15.94285645900004, 78.31347526600007, 16.626992442000073)",30-04-2023.geojson,,,,,,
Warangal Rural,TSD0021,2139.98,"{ ""min"": 0.19664832949638367, ""max"": 0.23110662400722504, ""mean"": 0.21218930860743213, ""count"": 571, ""sum"": 121.16009521484375, ""median"": 0.21294344961643219 }","(79.47950597500005, 17.619303173000105, 80.04124404200007, 18.279223933000026)",30-04-2023.geojson,,,,,,
Warangal Urban,TSD0022,1294.45,"{ ""min"": 0.1913800984621048, ""max"": 0.21590937674045563, ""mean"": 0.20324848399442785, ""count"": 340, ""sum"": 69.104484558105469, ""median"": 0.20324356853961945 }","(79.23082975700004, 17.786163054000042, 79.67163482100005, 18.266255774000058)",30-04-2023.geojson,,,,,,
Yadadri Bhuvanagiri,TSD0023,3422.72,"{ ""min"": 0.15049009025096893, ""max"": 0.2060573399066925, ""mean"": 0.16855793232129232, ""count"": 901, ""sum"": 151.87069702148438, ""median"": 0.16799843311309814 }","(78.68260567800007, 17.04419639500003, 79.45808114400006, 17.812669696000114)",30-04-2023.geojson,,,,,,
Narayanpet,TSD0024,2380.13,"{ ""min"": 0.13625864684581757, ""max"": 0.17402976751327515, ""mean"": 0.15472027517964915, ""count"": 611, ""sum"": 94.534088134765625, ""median"": 0.15604408085346222 }","(77.23725451100006, 16.34148046400003, 77.79666638000009, 17.061726844000077)",30-04-2023.geojson,,,,,,
Jogulamba Gadwal,TSD0025,2574.21,"{ ""min"": 0.15086483955383301, ""max"": 0.17884224653244019, ""mean"": 0.16681167487811324, ""count"": 665, ""sum"": 110.92976379394531, ""median"": 0.1666540801525116 }","(77.48561464400007, 15.836429923000026, 78.25321888900004, 16.362950969000053)",30-04-2023.geojson,,,,,,
Rangareddy,TSD0026,4997.54,"{ ""min"": 0.13926929235458374, ""max"": 0.21603019535541534, ""mean"": 0.17218852187647965, ""count"": 1320, ""sum"": 227.28884887695312, ""median"": 0.16959935426712036 }","(77.92190617600005, 16.744225033000077, 78.84397639500008, 17.522654105000072)",30-04-2023.geojson,,,,,,
