district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Mancherial,TSD0009,3909.4,"{ ""min"": 29.423583984375, ""max"": 31.4024658203125, ""mean"": 30.647533416748047, ""count"": 32, ""sum"": 980.7210693359375, ""median"": 30.743072509765625 }","(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",30-04-2023.geojson,,,,,,
Medak,TSD0010,2771.68,"{ ""min"": 28.4102783203125, ""max"": 29.739166259765625, ""mean"": 28.805007324218749, ""count"": 25, ""sum"": 720.12518310546875, ""median"": 28.734527587890625 }","(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",30-04-2023.geojson,,,,,,
Nagarkurnool,TSD0011,6399.07,"{ ""min"": 28.65057373046875, ""max"": 31.341644287109375, ""mean"": 30.195480957031251, ""count"": 50, ""sum"": 1509.7740478515625, ""median"": 30.292877197265625 }","(78.10083116400006, 16.00532167600005, 79.23432760400004, 16.830959432000043)",30-04-2023.geojson,,,,,,
Nalgonda,TSD0012,7218.26,"{ ""min"": 29.692840576171875, ""max"": 31.474822998046875, ""mean"": 30.683135986328125, ""count"": 64, ""sum"": 1963.720703125, ""median"": 30.671417236328125 }","(78.62614167300006, 16.35584791900004, 79.70200312500003, 17.35996707100003)",30-04-2023.geojson,,,,,,
Nirmal,TSD0013,3729.13,"{ ""min"": 29.246978759765625, ""max"": 30.722076416015625, ""mean"": 29.851221084594727, ""count"": 32, ""sum"": 955.23907470703125, ""median"": 29.7210693359375 }","(77.76173454100007, 18.84522452500005, 78.95237500500008, 19.342882151000026)",30-04-2023.geojson,,,,,,
Nizamabad,TSD0014,4168.33,"{ ""min"": 28.5955810546875, ""max"": 29.92156982421875, ""mean"": 29.3094482421875, ""count"": 34, ""sum"": 996.521240234375, ""median"": 29.289688110351562 }","(77.73094369300003, 18.43404349700006, 78.64029038200005, 19.015710890000037)",30-04-2023.geojson,,,,,,
Peddapalli,TSD0015,2195.39,"{ ""min"": 30.41375732421875, ""max"": 31.137542724609375, ""mean"": 30.901746961805557, ""count"": 18, ""sum"": 556.2314453125, ""median"": 30.948638916015625 }","(79.11294947900006, 18.385471986000027, 79.83268954900007, 18.854875013000026)",30-04-2023.geojson,,,,,,
Rajanna Sircilla,TSD0016,1897.97,"{ ""min"": 28.715728759765625, ""max"": 30.10540771484375, ""mean"": 29.434814453125, ""count"": 16, ""sum"": 470.95703125, ""median"": 29.382339477539062 }","(78.52078465300008, 18.21376387500004, 79.02266919100003, 18.69041016700004)",30-04-2023.geojson,,,,,,
Sangareddy,TSD0017,4460.37,"{ ""min"": 28.365386962890625, ""max"": 29.8448486328125, ""mean"": 29.060248480902779, ""count"": 36, ""sum"": 1046.1689453125, ""median"": 29.066757202148438 }","(77.44416825100006, 17.42785604100004, 78.44886573200006, 18.309307690000026)",30-04-2023.geojson,,,,,,
Siddipet,TSD0018,3637.17,"{ ""min"": 28.223541259765625, ""max"": 29.98382568359375, ""mean"": 28.938998518318964, ""count"": 29, ""sum"": 839.23095703125, ""median"": 28.7794189453125 }","(78.49289586600008, 17.667265188000044, 79.30335584600004, 18.34315846100003)",30-04-2023.geojson,,,,,,
Vikarabad,TSD0019,3618.96,"{ ""min"": 28.686767578125, ""max"": 30.15606689453125, ""mean"": 29.300398201778016, ""count"": 29, ""sum"": 849.7115478515625, ""median"": 29.216583251953125 }","(77.36247981800005, 16.90300025500005, 78.07315782100005, 17.637813938000022)",30-04-2023.geojson,,,,,,
Wanaparthy,TSD0020,2174.67,"{ ""min"": 30.163299560546875, ""max"": 31.348907470703125, ""mean"": 30.6776123046875, ""count"": 18, ""sum"": 552.197021484375, ""median"": 30.646087646484375 }","(77.65718116, 15.94285645900004, 78.31347526600007, 16.626992442000073)",30-04-2023.geojson,,,,,,
Warangal Rural,TSD0021,2139.98,"{ ""min"": 29.944732666015625, ""max"": 30.85235595703125, ""mean"": 30.197859330610797, ""count"": 22, ""sum"": 664.3529052734375, ""median"": 30.1517333984375 }","(79.47950597500005, 17.619303173000105, 80.04124404200007, 18.279223933000026)",30-04-2023.geojson,,,,,,
